GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
postech-tc4-pedido,com.example.postech_tc4_pedido.exception,QuantidadeProdutoException,0,4,0,0,0,2,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.exception,PedidoNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.database.entity,ClienteEntity,18,0,0,0,8,0,4,0,4,0
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.database.entity,ProdutoEntity,86,0,0,0,36,0,18,0,18,0
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.database.entity,SolicitacaoPagamentoEntity,3,0,0,0,1,0,1,0,1,0
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.database.entity,PedidoEntity,76,0,0,0,32,0,16,0,16,0
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.database.entity,PagamentoEntity,16,0,0,0,8,0,4,0,4,0
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.database,PedidoGateway,128,6,0,0,40,3,6,1,6,1
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.external,ProdutoGateway,45,6,0,0,19,3,3,1,3,1
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.external,EstoqueGateway,17,6,0,0,5,3,3,1,3,1
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.external,ClienteGateway,21,6,0,0,7,3,3,1,3,1
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.external,PagamentoGateway,17,6,0,0,6,3,3,1,3,1
postech-tc4-pedido,com.example.postech_tc4_pedido.gateway.kafka,PedidoConsumer,0,11,0,0,0,5,0,2,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.config,KafkaConfig,0,65,0,0,0,14,0,3,0,3
postech-tc4-pedido,com.example.postech_tc4_pedido.dto,ProdutoDTO,0,27,0,0,0,1,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.dto,AtualizacaoPagamentoDTO,0,9,0,0,0,1,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.dto,ClienteDTO,0,9,0,0,0,1,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.dto,PagamentoDTO,0,6,0,0,0,1,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.dto,PedidoDTO,0,24,0,0,0,1,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.dto,SolicitacaoPagamentoDTO,0,12,0,0,0,1,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,BuscarEstoqueUseCase,0,30,0,2,0,8,0,4,0,3
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,SalvarPedidoSemEstoqueUseCase,3,33,0,0,2,11,0,2,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,BuscarClienteUseCase,0,24,0,0,0,10,0,2,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,BaixarEstoqueUseCase,0,24,0,0,0,9,0,3,0,3
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,ProcessarPedidoUseCase,3,76,0,2,2,22,0,3,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,BuscarProdutosUseCase,0,44,0,0,0,19,0,3,0,3
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,SalvarPedidoPendentePagamentoUseCase,3,33,0,0,2,10,0,2,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,SolicitarPagamentoUseCase,3,22,0,0,2,9,0,2,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,AtualizarPagamentoUseCase,3,65,1,5,1,16,1,5,0,3
postech-tc4-pedido,com.example.postech_tc4_pedido.usecases,CalcularValorTotalPedidoUseCase,0,36,0,0,0,11,0,3,0,3
postech-tc4-pedido,com.example.postech_tc4_pedido.controller,AtualizacaoPagamentoController,0,13,0,0,0,5,0,2,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.domain,Produto,1,58,1,1,1,20,1,10,0,10
postech-tc4-pedido,com.example.postech_tc4_pedido.domain,Cliente,0,15,0,0,0,6,0,3,0,3
postech-tc4-pedido,com.example.postech_tc4_pedido.domain,Pedido,0,49,0,0,0,18,0,9,0,9
postech-tc4-pedido,com.example.postech_tc4_pedido.domain,SolicitacaoPagamento,0,21,0,0,0,8,0,4,0,4
postech-tc4-pedido,com.example.postech_tc4_pedido.domain,Pagamento,0,9,0,0,0,4,0,2,0,2
postech-tc4-pedido,com.example.postech_tc4_pedido.domain,StatusPedidoEnum,0,39,0,0,0,7,0,1,0,1
postech-tc4-pedido,com.example.postech_tc4_pedido,PostechTc4PedidoApplication,5,3,0,0,2,1,1,1,1,1
